fhpolrigaug,lrgdpch,country,year,year_numeric,sample,code,polity4
NA,NA,Andorra,1950,31,0,ADO,NA
NA,NA,Andorra,1955,32,0,ADO,NA
NA,NA,Andorra,1960,33,1,ADO,NA
NA,NA,Andorra,1965,34,1,ADO,NA
0.5,NA,Andorra,1970,35,1,ADO,NA
NA,NA,Andorra,1975,36,1,ADO,NA
NA,NA,Andorra,1980,37,1,ADO,NA
NA,NA,Andorra,1985,38,1,ADO,NA
NA,NA,Andorra,1990,39,1,ADO,NA
1,NA,Andorra,1995,40,1,ADO,NA
1,NA,Andorra,2000,41,1,ADO,NA
0.12,NA,Afghanistan,1950,31,0,AFG,0
0.11,NA,Afghanistan,1955,32,0,AFG,0
0.14,NA,Afghanistan,1960,33,1,AFG,0
0.23,NA,Afghanistan,1965,34,1,AFG,0.15
0.5,NA,Afghanistan,1970,35,1,AFG,0.15
0,NA,Afghanistan,1975,36,1,AFG,0.15
0,NA,Afghanistan,1980,37,1,AFG,0.15
0,NA,Afghanistan,1985,38,1,AFG,0.15
0,NA,Afghanistan,1990,39,1,AFG,0.1
0,NA,Afghanistan,1995,40,1,AFG,NA
0,NA,Afghanistan,2000,41,1,AFG,0.15
NA,NA,Angola,1950,31,0,AGO,NA
NA,NA,Angola,1955,32,0,AGO,NA
NA,7.812518,Angola,1960,33,0,AGO,NA
0.12,7.963571,Angola,1965,34,0,AGO,NA
NA,8.11033,Angola,1970,35,0,AGO,NA
0.1666667,7.642973,Angola,1975,36,0,AGO,0.15
0,7.563512,Angola,1980,37,1,AGO,0.15
0,7.528483,Angola,1985,38,1,AGO,0.15
0,7.57377,Angola,1990,39,1,AGO,0.15
0.1666667,7.132994,Angola,1995,40,1,AGO,NA
0.1666667,NA,Angola,2000,41,1,AGO,0.35
0.24,NA,Albania,1950,31,0,ALB,0.05
0.24,NA,Albania,1955,32,0,ALB,0.05
0.2,NA,Albania,1960,33,1,ALB,0.05
0.18,NA,Albania,1965,34,1,ALB,0.05
0,NA,Albania,1970,35,1,ALB,0.05
0,NA,Albania,1975,36,1,ALB,0.05
0,NA,Albania,1980,37,1,ALB,0.05
0,NA,Albania,1985,38,1,ALB,0.05
0,NA,Albania,1990,39,1,ALB,0.55
0.6666667,7.947575,Albania,1995,40,1,ALB,0.75
0.5,8.1156,Albania,2000,41,1,ALB,0.75
NA,NA,United Arab Emirates,1950,31,0,ARE,NA
NA,NA,United Arab Emirates,1955,32,0,ARE,NA
NA,NA,United Arab Emirates,1960,33,0,ARE,NA
NA,NA,United Arab Emirates,1965,34,0,ARE,NA
0,NA,United Arab Emirates,1970,35,0,ARE,NA
0.1666667,NA,United Arab Emirates,1975,36,0,ARE,0.1
0.3333333,NA,United Arab Emirates,1980,37,1,ARE,0.1
0.3333333,NA,United Arab Emirates,1985,38,1,ARE,0.1
0.1666667,NA,United Arab Emirates,1990,39,1,ARE,0.1
0.1666667,NA,United Arab Emirates,1995,40,1,ARE,0.1
0.1666667,NA,United Arab Emirates,2000,41,1,ARE,0.1
0.49,8.768732,Argentina,1950,31,0,ARG,0.05
0.3,8.833524,Argentina,1955,32,0,ARG,NA
0.63,8.905374,Argentina,1960,33,1,ARG,0.45
0.53,9.01616,Argentina,1965,34,1,ARG,0.45
0.1666667,9.13399,Argentina,1970,35,1,ARG,0.05
0.8333333,9.20284,Argentina,1975,36,1,ARG,0.8
