Time,Year,quarter,Country,real_con_raw,real_inv_raw,real_exp_raw,real_imp_raw,real_gdp_raw,real_gdp_2016,tot_emp_raw,pop_quarterly,lab_prod,ConGDP,InvGDP,ExpGDP,ImpGDP,LPG,EmpSha,gdp,ID
1995,1995,Q1,Australia,466096968963.892,168325764025.081,124663929826.452,97810315683.229,849586355999.97,0.5080840515634549,8077377.21089986,13144039.8408781,0.9988636767884334,0.5486163539141259,0.1981267270081806,0.1467348539039584,0.11512698502332405,-0.007897272899607835,0.6145277485981999,-49.19159484365451,1
1995,1995,Q1,Austria,121471251164.676,55379937684.8687,66340907176.8472,74392817945.0033,216569872964.9,0.6832145650114767,3737003.277,6043266.62169509,0.9863141284471386,0.560887114637423,0.25571395008318754,0.3063256503253305,0.34350492488426737,-0.009347861782403143,0.6183747153541603,-31.678543498852328,2
1995,1995,Q1,Belgium,160824000000,61188000000,150116000000,146888000000,291036000000,0.6877292147151121,3920400,7666495.522086821,0.9942752617551491,0.5525914319877954,0.2102420319135777,0.5157987328028147,0.5047073214310257,0.003363678340001811,0.5113679371109665,-31.227078528488793,3
1995,1995,Q1,Canada,555814244058.736,189491000000,335303000000,257261000000,1084659000000,0.6057396940918461,13274100,21714093.25541625,0.9997992047634786,0.5124322428143185,0.174700988974415,0.30913217886911926,0.2371814551854546,0.005446191062028043,0.6113126550512984,-39.42603059081539,4
1995,1995,Q1,Finland,63468000000,25240000000,32488000000,30084000000,121020000000,0.6370479549402537,2050262.69651563,3827395.735098235,0.9885239277671691,0.5244422409519087,0.2085605685010742,0.2684514956205586,0.24858701041150222,-0.008664155127435761,0.5356808750436169,-36.29520450597463,5
1995,1995,Q1,France,835520000000,331268000000,296292000000,281364000000,1571864000000,0.7165015653175945,23250042.9601279,43917308.4211887,1.0016773989715932,0.5315472585414515,0.21074851259396488,0.1884972236783844,0.17900021884845,0.0019750329378941073,0.529405006726471,-28.349843468240554,6
1995,1995,Q1,Germany,1264656000000,454676000000,426604000000,424932000000,2127982346845.72,0.7448412877590652,35826666.6666667,63852241.47420025,0.990045157887821,0.5942981631753584,0.21366530632829742,0.20047346757004325,0.1996877467662601,-0.003945524974101517,0.5610870635002314,-25.515871224093477,7
1995,1995,Q1,Hungary,8466440000000,2963636000000,3330584000000,3678616000000,15799868000000,0.6345922329278202,3623367.33933844,8004297.640433222,0.9996168990069513,0.5358551096755998,0.18757346580363837,0.21079821679522892,0.23282574259481156,0.012437267433053536,0.4526777366492746,-36.54077670721798,8
1995,1995,Q1,Iceland,357828703639.369,98643903452.2985,197718939070.791,175595631182.233,666319626443.445,0.5005012722949683,140901.56477031,188464.887782803,1.0032783359457742,0.5370226081277532,0.14804292045068715,0.29673287597145803,0.26353063036653174,-0.017788415203667873,0.7476276691533783,-49.94987277050317,9
1995,1995,Q1,Ireland,41662001632,16363948084,46966078676,40743145436,84735893088,0.3168461758319532,1321488.43595193,2532461.554167392,0.9863390790298091,0.4916688797831297,0.19311707810768805,0.5542642788602552,0.4808251137884083,0.011195727403918049,0.521819742446752,-68.31538241680468,10
1995,1995,Q1,Italy,818311115938.513,256548679343.626,300674803816.294,259100754288.224,1407144000000,0.8977098301607291,20760880,44695975.55982943,0.9967352477656697,0.5815404222584988,0.18231871034068015,0.21367735200966922,0.18413236618869427,0.013567287707572864,0.4644910361607337,-10.229016983927085,11
