observ,barrio,calle,altura,institut,institu3,distanz,edpub,estserv,banco,totrob,mes,monat
870,Once,Cordoba,a2300,0,1,1,1,0,0,0,4,April
851,Once,Tucuman,a2400,0,0,2,0,0,0,0,4,April
843,Once,Lavalle,a2300,1,1,0,0,0,1,0,4,April
796,Once,Pasteur,a500,0,1,1,0,0,0,0,4,April
790,Once,Azcuenaga,a700,1,1,0,0,0,0,0,4,April
789,Once,Azcuenaga,a600,0,1,1,0,0,0,0,4,April
844,Once,Lavalle,a2400,1,1,0,0,0,0,0,4,April
858,Once,Viamonte,a2400,0,1,1,0,0,1,0,4,April
787,Once,Azcuenaga,a400,0,1,1,0,0,1,0,4,April
850,Once,Tucuman,a2300,0,1,1,0,0,0,0,4,April
864,Once,San Luis,a2400,0,1,1,0,0,0,0,4,April
871,Once,Cordoba,a2400,0,1,1,0,0,0,0,4,April
857,Once,Viamonte,a2300,1,1,0,0,0,0,0,4,April
795,Once,Pasteur,a400,0,1,1,0,0,0,0,4,April
788,Once,Azcuenaga,a500,0,1,1,0,0,1,0,4,April
797,Once,Pasteur,a600,1,1,0,0,0,0,0,4,April
798,Once,Pasteur,a700,0,1,1,0,0,0,0,4,April
836,Once,Corrientes,a2400,0,0,2,0,0,1,0,4,April
794,Once,Pasteur,a300,0,1,1,0,0,0,0,4,April
784,Once,Azcuenaga,a100,0,1,1,0,0,0,0,4,April
814,Once,Tte. Gral. Peron,a2300,0,1,1,0,0,0,0,4,April
808,Once,Bartolome Mitre,a2400,0,0,2,0,0,0,0,4,April
835,Once,Corrientes,a2300,0,0,2,0,0,1,0,4,April
815,Once,Tte. Gral. Peron,a2400,1,1,0,0,0,0,0.25,4,April
822,Once,Sarmiento,a2300,0,1,1,0,0,0,0,4,April
800,Once,Rivadavia,a2400,0,0,3,1,0,1,0,4,April
791,Once,Pasteur,a0-100,0,0,3,0,0,0,0,4,April
785,Once,Azcuenaga,a200,0,1,1,0,0,0,0,4,April
799,Once,Rivadavia,a2300,0,0,3,0,0,0,0,4,April
793,Once,Pasteur,a200,0,1,1,0,0,0,0,4,April
786,Once,Azcuenaga,a300,0,0,2,0,0,1,0,4,April
783,Once,Azcuenaga,a0-100,0,0,2,0,0,0,0,4,April
823,Once,Sarmiento,a2400,0,0,2,0,0,0,1,4,April
792,Once,Pasteur,a100,0,0,2,0,0,0,0,4,April
807,Once,Bartolome Mitre,a2300,0,0,2,0,0,0,0,4,April
781,Once,Larrea,a700-750,0,0,2,0,0,0,0,4,April
780,Once,Larrea,a600,0,0,2,0,0,0,0,4,April
782,Once,Larrea,a750-800,0,0,2,0,0,0,0,4,April
779,Once,Larrea,a500,0,1,1,0,0,0,0,4,April
778,Once,Larrea,a400,0,1,1,0,0,1,0,4,April
774,Once,Larrea,a0-100,0,0,2,0,0,1,0,4,April
776,Once,Larrea,a200,0,1,1,0,0,0,0.25,4,April
777,Once,Larrea,a300,0,0,2,0,0,0,0,4,April
775,Once,Larrea,a100,0,1,1,0,0,0,0.25,4,April
701,V. Crespo,Aguirre,a300,0,0,2,0,0,0,0,4,April
699,V. Crespo,Aguirre,a100,0,0,3,0,0,0,0,4,April
541,V. Crespo,Lavalleja,a500,0,0,3,0,0,0,1,4,April
687,V. Crespo,Velasco,a0-100,0,0,4,0,0,0,0,4,April
689,V. Crespo,Velasco,a200,0,0,3,0,0,0,0,4,April
698,V. Crespo,Aguirre,a0-100,0,0,4,0,0,0,0,4,April
688,V. Crespo,Velasco,a100,0,0,4,0,0,0,0,4,April
700,V. Crespo,Aguirre,a200,0,0,2,0,0,0,1,4,April
534,V. Crespo,Julian Alvarez,a400,0,0,3,0,0,0,0,4,April
540,V. Crespo,Lavalleja,a400,0,0,3,0,0,0,0,4,April
546,V. Crespo,Frias,a400,0,0,4,0,0,0,1,4,April
679,V. Crespo,Vera,a300,0,0,3,0,0,0,0,4,April
535,V. Crespo,Julian Alvarez,a500,0,0,2,0,0,0,0,4,April
859,Once,Viamonte,a2500,0,0,2,0,0,0,0,4,April
863,Once,Viamonte,a2900,0,1,1,0,0,0,0,4,April
874,Once,Cordoba,a2600-2650,0,1,1,0,0,0,0,4,April
771,Once,Paso,a600,0,0,2,0,0,1,0,4,April
758,Once,Pueyrredon,a800,0,0,2,1,0,0,0,4,April
739,Once,Ecuador,a700,0,1,1,0,0,0,1,4,April
759,Once,Pueyrredon,a900,0,0,2,0,0,0,0,4,April
868,Once,San Luis,a2800,0,1,1,0,0,0,1,4,April
866,Once,San Luis,a2600,0,1,1,0,0,0,0,4,April
747,Once,Boulogne Sur Mer,a700,0,1,1,0,0,0,0,4,April
773,Once,Paso,a750-800,1,1,0,0,0,0,0,4,April
741,Once,Ecuador,a900,1,1,0,0,1,0,0.25,4,April
731,Once,Jean Jaures,a800,0,1,1,0,1,0,0,4,April
748,Once,Boulogne Sur Mer,a800,0,1,1,0,0,0,0,4,April
865,Once,San Luis,a2500,0,1,1,0,0,0,0,4,April
860,Once,Viamonte,a2600,0,0,2,0,0,0,0,4,April
772,Once,Paso,a700-750,0,1,1,0,0,0,0,4,April
749,Once,Boulogne Sur Mer,a900,1,1,0,0,0,0,0,4,April
876,Once,Cordoba,a2700,0,1,1,0,0,0,0.25,4,April
732,Once,Jean Jaures,a900,0,0,2,0,0,0,0,4,April
875,Once,Cordoba,a2650-2700,0,1,1,0,0,0,0.25,4,April
861,Once,Viamonte,a2700,0,0,2,0,0,0,0,4,April
862,Once,Viamonte,a2800,0,0,2,0,0,0,0,4,April
872,Once,Cordoba,a2500-2550,0,1,1,0,0,0,0,4,April
